name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
antlr-2.7.7-redhat-1.jar,BSD,"","-","-","-","-","-","-"
aopalliance-1.0.0.jar,Public Domain,"","-","-","-","-","-","-"
asm-3.3.1.jar,BSD,"","-","-","-","-","-","-"
cglib-2.2.2.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-collections4-4.4.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-collections-3.2.1.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-compress-1.18.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-io-2.5.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-lang-2.4.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-lang3-3.11.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-logging-1.1.1.jar,Apache-2.0,"","-","-","-","-","-","-"
commons-math3-3.6.1.jar,Apache-2.0,"","-","-","-","-","-","-"
curvesapi-1.05.jar,"-","","-","-","-","-","-","-"
csi-apachesoap-1.4.6.jar,Apache-2.0;MIT,"","-","-","-","-","-","-"
csi-core-1.4.6.jar,Apache-2.0;MIT,"","-","-","-","-","-","-"
csi-ejb-1.4.6.jar,Apache-2.0;MIT,"","-","-","-","-","-","-"
csi-rmi-1.4.6.jar,Apache-2.0;MIT,"","-","-","-","-","-","-"
csi-stadapter-1.4.6.jar,Apache-2.0;MIT,"","-","-","-","-","-","-"
fr.opensagres.odfdom.converter.core-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.odfdom.converter.pdf-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.odfdom.converter.xhtml-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.poi.xwpf.converter.core-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.poi.xwpf.converter.pdf-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.poi.xwpf.converter.xhtml-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.converter.docx.xwpf-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.converter.odt.odfdom-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.converter-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.core-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.document.odt-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.document-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.itext.extension-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.template.velocity-2.0.2.jar,MIT,"","-","-","-","-","-","-"
fr.opensagres.xdocreport.template-2.0.2.jar,MIT,"","-","-","-","-","-","-"
hibernate-commons-annotations-3.2.0.Final.jar,LGPL-2.1,"","-","-","-","-","-","-"
hibernate-core-3.6.10.Final.jar,LGPL-2.1,"","-","-","-","-","-","-"
hibernate-entitymanager-3.6.10.Final.jar,LGPL-2.1,"","-","-","-","-","-","-"
hibernate-jpa-2.0-api-1.0.1.Final.jar,LGPL-2.1,"","-","-","-","-","-","-"
httpclient-4.5.4.jar,Apache-2.0,"","-","-","-","-","-","-"
httpcore-4.4.5.jar,Apache-2.0,"","-","-","-","-","-","-"
itext-2.1.7.jar,MPL 1.1,"","-","-","-","-","-","-"
jackson-annotations-2.9.9.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-core-2.9.9.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-core-asl-1.9.13.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-databind-2.9.9.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-jaxrs-base-2.9.9.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-jaxrs-json-provider-2.9.9.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-mapper-asl-1.9.13.jar,Apache-2.0,"","-","-","-","-","-","-"
jackson-module-jaxb-annotations-2.9.9.jar,Apache-2.0,"","-","-","-","-","-","-"
jboss-annotations-api_1.3_spec-1.0.1.Final.jar,CDDL-1.0, GPL-2.0,"","-","-","-","-","-","-"
jboss-jaxb-api_2.3_spec-1.0.1.Final.jar,CDDL-1.0, GPL-2.0,"","-","-","-","-","-","-"
jboss-jaxrs-api_2.1_spec-1.0.2.Final.jar,CDDL-1.0, GPL-2.0,"","-","-","-","-","-","-"
jboss-logging-3.1.2.GA.jar,CDDL-1.0, GPL-2.0,"","-","-","-","-","-","-"
jettison-1.3.1.jar,Apache-2.0,"","-","-","-","-","-","-"
junit-4.12.jar,EPL-1.0,"","-","-","-","-","-","-"
log4j-1.2.14.jar,Apache-2.0L,"","-","-","-","-","-","-"
odfdom-java-0.8.7.jar,Apache-2.0,"","-","-","-","-","-","-"
ooxml-schemas-1.4.jar,Apache-2.0,"","-","-","-","-","-","-"
oro-2.0.8.jar,Apache,"","-","-","-","-","-","-"
poi-4.0.1.jar,Apache-2.0,"","-","-","-","-","-","-"
poi-ooxml-4.0.1.jar,Apache-2.0,"","-","-","-","-","-","-"
reactive-streams-1.0.2.jar,CC0 1.0,"","-","-","-","-","-","-"
resteasy-client-3.7.0.Final.jar,Apache-2.0,"","-","-","-","-","-","-"
resteasy-jackson2-provider-3.7.0.Final.jar,Apache-2.0,"","-","-","-","-","-","-"
resteasy-jaxrs-3.7.0.Final.jar,Apache-2.0,"","-","-","-","-","-","-"
resteasy-multipart-provider-2.3.10.Final-redhat-1.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-aop-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-beans-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-context-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-core-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-data-commons-1.13.22.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-data-jpa-1.11.22.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-expression-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-instrument-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-jdbc-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-orm-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-tx-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
spring-web-4.3.24.RELEASE.jar,Apache-2.0,"","-","-","-","-","-","-"
swagger-annotations-1.5.18.jar,Apache-2.0,"","-","-","-","-","-","-"
swagger-jaxrs-1.5.18.jar,Apache-2.0,"","-","-","-","-","-","-"
util-perf-1.0.0.jar,Apache-2.0;MIT,"","-","-","-","-","-","-"
validation-api-1.0.0.GA-redhat-3.jar,Apache-2.0,"","-","-","-","-","-","-"
velocity-1.7.jar,Apache-2.0,"","-","-","-","-","-","-"
xerces-2.4.0.jar,Apache-2.0,"","-","-","-","-","-","-"
xercesImpl-2.9.1.jar,Apache,"","-","-","-","-","-","-"
xml-apis-1.3.04.jar,Apache-2.0,"","-","-","-","-","-","-"
xmlbeans-3.0.1.jar,Apache-2.0,"","-","-","-","-","-","-"
zxing-core-3.3.3.jar,Apache-2.0,"","-","-","-","-","-","-"
zxing-javase-3.3.3.jar,Apache-2.0,"","-","-","-","-","-","-"
